Beer_Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Brewery,City,State,Ale,Category
Quakertown Stout,1333,0.092,50,427,American Double / Imperial Stout,12,Armadillo Ale Works,Denton,TX,Other,Stout
Greenbelt Farmhouse Ale,1332,0.051,20,427,Saison / Farmhouse Ale,12,Armadillo Ale Works,Denton,TX,Ale,Ale
Mo's Gose,1172,0.052,10,462,Gose,16,Armstrong Brewing Company,South San Francisco,CA,Other,Other
Green Bullet Organic India Pale Ale,1322,0.07,45,430,American IPA,16,Asher Brewing Company,Boulder,CO,IPA,IPA
Rocket Girl,550,0.032,27,529,Kölsch,12,Asheville Brewing Company,Asheville,NC,Other,Other
Ninja Porter,429,0.053,26,529,American Porter,12,Asheville Brewing Company,Asheville,NC,Other,Porter
Shiva IPA,428,0.06,69,529,American IPA,12,Asheville Brewing Company,Asheville,NC,IPA,IPA
Aslan Kölsch,1640,0.048,21.77777777777778,354,Kölsch,16,Aslan Brewing Company,Bellingham,WA,Other,Other
Aslan IPA,1639,0.077,67.57516339869281,354,American IPA,16,Aslan Brewing Company,Bellingham,WA,IPA,IPA
Aslan Amber,1638,0.077,35.69135802469136,354,American Amber / Red Ale,16,Aslan Brewing Company,Bellingham,WA,Ale,Ale
This Season's Blonde,597,0.056,27,524,American Blonde Ale,12,Aspen Brewing Company,Aspen,CO,Ale,Ale
Independence Pass Ale,596,0.07,67,524,American IPA,12,Aspen Brewing Company,Aspen,CO,IPA,IPA
Trolley Stop Stout,1580,0.057,40,375,American Stout,12,Astoria Brewing Company,Astoria,OR,Other,Stout
Bitter Bitch Imperial IPA,980,0.082,138,375,American Double / Imperial IPA,12,Astoria Brewing Company,Astoria,OR,IPA,IPA
Poop Deck Porter,979,0.062,35,375,American Porter,12,Astoria Brewing Company,Astoria,OR,Other,Porter
Old Red Beard Amber Ale,978,0.06,35,375,American Amber / Red Ale,12,Astoria Brewing Company,Astoria,OR,Ale,Ale
Hop A-Peel,2503,0.075,115,73,American Double / Imperial IPA,16,Atwater Brewery,Detroit,MI,IPA,IPA
Vanilla Java Porter,2502,0.055,12,73,American Porter,16,Atwater Brewery,Detroit,MI,Other,Porter
Michelada,2495,0.052,14.2,73,Fruit / Vegetable Beer,16,Atwater Brewery,Detroit,MI,Other,Other
Dirty Blonde Ale,534,0.045,8,73,American Blonde Ale,12,Atwater Brewery,Detroit,MI,Ale,Ale
Grand Circus IPA,528,0.05,62,73,American IPA,12,Atwater Brewery,Detroit,MI,IPA,IPA
Atwater's Lager,527,0.05,12,73,Munich Helles Lager,12,Atwater Brewery,Detroit,MI,Other,Lager
Heavy Machinery IPA Series #1: Heavy Fist,1409,0.07,68.9,414,American Black Ale,16,Austin Beerworks,Austin,TX,Ale,Ale
Fire Eagle IPA,343,0.062,67.57516339869281,414,American IPA,12,Austin Beerworks,Austin,TX,IPA,IPA
Peacemaker,342,0.051,44.619354838709675,414,American Pale Ale (APA),12,Austin Beerworks,Austin,TX,Ale,Ale
Pearl-Snap,341,0.053,34.1764705882353,414,German Pilsener,12,Austin Beerworks,Austin,TX,Other,Pilsner
Black Thunder,340,0.052,31,414,Schwarzbier,12,Austin Beerworks,Austin,TX,Other,Other
Raja,2589,0.08,92.45454545454545,38,American Double / Imperial IPA,12,Avery Brewing Company,Boulder,CO,IPA,IPA
Perzik Saison,2546,0.064,28.391304347826086,38,Saison / Farmhouse Ale,12,Avery Brewing Company,Boulder,CO,Ale,Ale
Avery Joe’s Premium American Pilsner,146,0.047,42,38,German Pilsener,12,Avery Brewing Company,Boulder,CO,Other,Pilsner
White Rascal,108,0.056,10,38,Witbier,12,Avery Brewing Company,Boulder,CO,Other,Other
Avery India Pale Ale,107,0.063,69,38,American IPA,12,Avery Brewing Company,Boulder,CO,IPA,IPA
